metric,statistic,value,scenario,instance
acc,min,0.13314082,rbv2_rpart,41163
auc,min,0.45451662,rbv2_rpart,41163
bac,min,0.15884769,rbv2_rpart,41163
brier,min,0.44237575,rbv2_rpart,41163
f1,min,0.0,rbv2_rpart,41163
logloss,min,0.7484839,rbv2_rpart,41163
memory,min,1.7325363,rbv2_rpart,41163
timepredict,min,0.6341665,rbv2_rpart,41163
timetrain,min,2.2293546,rbv2_rpart,41163
acc,max,0.76276493,rbv2_rpart,41163
auc,max,0.91657054,rbv2_rpart,41163
bac,max,0.7542294,rbv2_rpart,41163
brier,max,0.89833516,rbv2_rpart,41163
f1,max,0.0025864244,rbv2_rpart,41163
logloss,max,7.8994107,rbv2_rpart,41163
memory,max,3048.013,rbv2_rpart,41163
timepredict,max,4.1530166,rbv2_rpart,41163
timetrain,max,38.707634,rbv2_rpart,41163
acc,min,0.27332765,rbv2_svm,181
auc,min,-3.2526065e-19,rbv2_svm,181
bac,min,-3.2526065e-19,rbv2_svm,181
brier,min,0.4277377,rbv2_svm,181
f1,min,0.0,rbv2_svm,181
logloss,min,0.9638476,rbv2_svm,181
memory,min,0.025995847,rbv2_svm,181
timepredict,min,0.022532659,rbv2_svm,181
timetrain,min,0.32039264,rbv2_svm,181
acc,max,0.693286,rbv2_svm,181
auc,max,0.92528284,rbv2_svm,181
bac,max,0.60791814,rbv2_svm,181
brier,max,0.8734991,rbv2_svm,181
f1,max,0.0035605133,rbv2_svm,181
logloss,max,1.8823097,rbv2_svm,181
memory,max,498.64944,rbv2_svm,181
timepredict,max,2.5268588,rbv2_svm,181
timetrain,max,1138.0227,rbv2_svm,181
acc,min,0.42330632,rbv2_aknn,60
auc,min,0.6176376,rbv2_aknn,60
bac,min,0.5439156,rbv2_aknn,60
brier,min,0.20496666,rbv2_aknn,60
f1,min,2.0861626e-07,rbv2_aknn,60
logloss,min,0.20735079,rbv2_aknn,60
memory,min,132.97571,rbv2_aknn,60
timepredict,min,0.090673216,rbv2_aknn,60
timetrain,min,0.51562876,rbv2_aknn,60
acc,max,0.9003747,rbv2_aknn,60
auc,max,0.98479694,rbv2_aknn,60
bac,max,0.8753965,rbv2_aknn,60
brier,max,0.86806715,rbv2_aknn,60
f1,max,0.026093274,rbv2_aknn,60
logloss,max,17.163431,rbv2_aknn,60
memory,max,605.6297,rbv2_aknn,60
timepredict,max,1.9947934,rbv2_aknn,60
timetrain,max,9.533747,rbv2_aknn,60
acc,min,0.62187356,rbv2_ranger,1494
auc,min,0.39535284,rbv2_ranger,1494
bac,min,0.41577652,rbv2_ranger,1494
brier,min,0.07895442,rbv2_ranger,1494
f1,min,0.7536733,rbv2_ranger,1494
logloss,min,0.29916814,rbv2_ranger,1494
memory,min,186.28036,rbv2_ranger,1494
timepredict,min,0.039133556,rbv2_ranger,1494
timetrain,min,0.22908334,rbv2_ranger,1494
acc,max,0.9041983,rbv2_ranger,1494
auc,max,0.95570934,rbv2_ranger,1494
bac,max,0.87564594,rbv2_ranger,1494
brier,max,0.23919539,rbv2_ranger,1494
f1,max,0.93245786,rbv2_ranger,1494
logloss,max,1.0335481,rbv2_ranger,1494
memory,max,769.6612,rbv2_ranger,1494
timepredict,max,1.024034,rbv2_ranger,1494
timetrain,max,41.210075,rbv2_ranger,1494
acc,min,0.14196992,rbv2_ranger,1478
auc,min,0.48983252,rbv2_ranger,1478
bac,min,0.12569962,rbv2_ranger,1478
brier,min,0.038604934,rbv2_ranger,1478
f1,min,4.7683716e-07,rbv2_ranger,1478
logloss,min,0.07305643,rbv2_ranger,1478
memory,min,0.0,rbv2_ranger,1478
timepredict,min,0.04922564,rbv2_ranger,1478
timetrain,min,0.4383697,rbv2_ranger,1478
acc,max,0.9863793,rbv2_ranger,1478
auc,max,0.999346,rbv2_ranger,1478
bac,max,0.98313785,rbv2_ranger,1478
brier,max,0.8557073,rbv2_ranger,1478
f1,max,0.013326198,rbv2_ranger,1478
logloss,max,2.0318606,rbv2_ranger,1478
memory,max,3157.0042,rbv2_ranger,1478
timepredict,max,17.788628,rbv2_ranger,1478
timetrain,max,2648.1982,rbv2_ranger,1478
acc,min,0.47205672,rbv2_xgboost,4135
auc,min,0.38073108,rbv2_xgboost,4135
bac,min,0.13371035,rbv2_xgboost,4135
brier,min,0.00040861694,rbv2_xgboost,4135
f1,min,5.9603646e-08,rbv2_xgboost,4135
logloss,min,0.002854987,rbv2_xgboost,4135
memory,min,0.0,rbv2_xgboost,4135
timepredict,min,0.022000507,rbv2_xgboost,4135
timetrain,min,0.6234652,rbv2_xgboost,4135
acc,max,1.0,rbv2_xgboost,4135
auc,max,1.0,rbv2_xgboost,4135
bac,max,0.96666694,rbv2_xgboost,4135
